Video title,Views,Average view duration,Ad impressions,Impressions,Impressions click-through rate (%),CPM (USD),RPM (USD),Estimated revenue (USD)
Save Tomorrow,13,0:02:59,9,67,2.99,5.111,1.923,0.025
Vietnam,13,0:02:22,0,125,6.4,,0,0
Exercise Time,13,0:00:20,2,43,0,1.5,0.077,0.001
A Recipe To Thrive,13,0:04:34,5,140,9.29,0.6,0.154,0.002
Longing for a Local Lunch,13,0:03:33,4,78,7.69,1,0.154,0.002
"Schubertiade: ""Der Taucher""",12,0:04:56,10,148,4.05,3.4,1.583,0.019
Unseen,12,0:02:57,7,89,6.74,2.143,0.667,0.008
Path of Freedom,12,0:06:29,3,125,8.8,1,0.167,0.002
Barrio de Paz,12,0:01:33,0,65,6.15,,0,0
Lucky,12,0:04:42,1,186,6.45,1,0,0
Manrique,12,0:05:19,0,230,3.48,,0,0
Moon Girl,12,0:01:07,0,133,7.52,,0,0
"Gypsy Song, From Carmen",12,0:00:42,7,99,1.01,5.286,0.833,0.01
Winner of Peace,12,0:03:20,0,155,6.45,,0,0
Unharnessed,11,0:03:26,17,79,2.53,2.294,2,0.022
Net Zero Speaks with Alexander Leicht #shorts,11,0:01:06,0,1279,0.63,,0,0
To the Highest Point Near the Sun,11,0:01:41,6,145,2.76,6,1.909,0.021
Net Zero Speaks With Manuel Diaz #Shorts,11,0:00:12,0,139,2.88,,0,0
Kyiv,10,0:00:58,2,282,1.77,0,0,0
Eternal Sorrow of Lin’an,10,0:01:09,3,209,3.35,6.333,1,0.01
The Atomic Tree,10,0:03:34,0,117,5.98,,0,0
Fighting Climate Change Through Clean Mobility,10,0:00:40,8,230,4.35,7.75,3.4,0.034
Gun Violence,10,0:00:09,0,196,4.59,,0,0
Plastic Portrait,9,0:01:36,6,60,6.67,2.5,0.889,0.008
Home with the Nine Little Bears,9,0:11:31,5,97,7.22,0.4,0.111,0.001
Bada Aadmi (Great Man),9,0:00:20,0,114,3.51,,0,0
Creative Reuse Project: BEADS,9,0:02:20,3,152,2.63,1.333,0.222,0.002
Sanctuaries of Silence,9,0:02:25,8,76,0,4.5,2.222,0.02
Dancing the Revolution,8,0:01:33,0,58,3.45,,0,0
Scaling Iceland,8,0:01:17,0,86,3.49,,0,0
How to Help Ukraine Refugees,8,0:00:35,3,177,2.82,7,1.375,0.011
Marie's Dictionary,8,0:00:24,3,147,3.4,0.667,0.125,0.001
The Classroom is the Frontline,8,0:02:16,0,180,3.33,,0,0
Information Integrity,7,0:00:13,0,54,0,,0,0
"5,000 Miles Apart: Virtual Exchange Between Morocco & U.S.",7,0:03:06,0,305,2.3,,0,0
Earthrise,7,0:00:28,0,40,5,,0,0
Melody,6,0:01:27,5,52,1.92,3.4,1.5,0.009
How Can We Become More Inclusive?,6,0:00:33,1,172,3.49,17,1.667,0.01
The Sun Will Save Us,6,0:01:31,5,196,2.55,13,6,0.036
Lost World,6,0:02:18,11,94,5.32,4.909,5,0.03
Evolving Farming with Technology,6,0:00:55,1,147,4.08,0,0,0
Beyond the Pipeline,5,0:07:25,0,72,6.94,,0,0
Koga and Friends – “Shelter”,5,0:04:16,3,85,2.35,1,0.4,0.002
Love is Love,5,0:02:16,3,76,5.26,0.667,0.2,0.001
"On life right now: Anthony John Wiles, Jr., 2020 National Student Poet for the Northeast",5,0:01:40,0,233,0.86,,0,0
Human Race ISM,5,0:01:17,11,66,4.55,1.364,1.6,0.008
Mother,5,0:00:06,6,96,4.17,0.667,0.4,0.002
Back to School During the Pandemic,5,0:02:00,4,119,4.2,1.25,0.6,0.003
"On life right now: Maddy Dietz, 2020 National Student Poet for the Midwest",5,0:01:45,6,400,1,3.333,2.2,0.011
The Letter,4,0:01:37,0,68,4.41,,0,0
Can't Hide Me,4,0:00:07,5,91,4.4,3,2,0.008
Swimming Upstream,4,0:04:46,4,50,2,21.75,12,0.048
Shine,4,0:00:08,5,41,0,6.4,4.5,0.018
Home Remedy,4,0:01:10,4,84,2.38,12.25,6.75,0.027
'The Search for Me' Short,4,0:00:08,0,38,5.26,,0,0
Shadow,4,0:03:00,6,83,4.82,5,4,0.016
A Thousand Suns,4,0:02:58,8,70,2.86,5.75,6.25,0.025
Queens,4,0:04:29,4,67,4.48,4.5,2.5,0.01
Perfectly Imperfect,4,0:01:23,0,53,0,,0,0
Parkland: Stories From the Survivors,4,0:01:30,0,67,1.49,,0,0
Exposure,4,0:04:18,0,62,4.84,,0,0
A Not So Grand Day Out,4,0:01:30,2,83,3.61,2,0.75,0.003
The Promise of Blockchain Technology,3,0:00:05,0,427,0.47,,0,0
The Happiness Diaries: Chapter Two - The Boy Who Found His Voice,3,0:00:22,0,105,2.86,,0,0
What To Do About Climate Disruption,3,0:00:40,0,258,0.78,,0,0
"On life right now: Ethan Wang, 2020 National Student Poet for the Southwest",3,0:01:37,0,152,1.32,,0,0
No More Screen Time,3,0:00:22,4,57,1.75,4.75,3.667,0.011
Fairy Tail,3,0:01:26,3,53,1.89,45.333,25,0.075
The Gospel of Combat,3,0:06:01,2,53,1.89,1,0.333,0.001
A Tale of Two Icebergs:  Episode 2,3,0:03:00,0,68,2.94,,0,0
Smallie,3,0:00:21,0,50,2,,0,0
Net Zero Speaks With Crispin Hemson #Shorts,3,0:00:05,0,97,0,,0,0
Find Your Purpose,3,0:02:55,0,885,0.34,,0,0
Visualizing change,2,0:00:14,2,52,3.85,32,17.5,0.035
I Don’t Need A Husband Yet,2,0:00:15,1,56,1.79,2,0.5,0.001
Fish Tale,2,0:00:17,0,473,0.21,,0,0
What Could Be Hotter Than Solar Windows?,2,0:00:18,0,0,,,0,0
Headspace,2,0:01:22,0,75,2.67,,0,0
Black Girl Poem,2,0:00:28,4,132,0.76,0.25,0,0
106 Days,2,0:02:19,0,49,2.04,,0,0
Siroun,2,0:00:04,2,108,0.93,0.5,0.5,0.001
Hearts of Steel,2,0:00:16,0,83,2.41,,0,0
The Mime,2,0:03:14,0,62,3.23,,0,0
Evil Nicotine,2,0:00:12,0,60,1.67,,0,0
Net Zero Speaks with Kim Cobb,2,0:00:05,0,801,0,,0,0
Tomatoes Changed My Life,2,0:02:57,0,43,2.33,,0,0
Take A Stand For Animals,2,0:00:44,3,52,1.92,5.333,4.5,0.009
Preheated,2,0:00:02,1,62,1.61,1,0.5,0.001
Nepotism: My Worst Fear,2,0:00:01,2,50,2,5.5,3,0.006
From The Same Soil,1,0:00:01,0,0,,,0,0
The Full Stop,1,0:00:07,3,43,2.33,5.333,9,0.009
Toxic Pollution,1,0:00:16,2,67,0,0,0,0
The Birds,1,0:00:30,0,43,0,,0,0
Net Zero #3 Youth Monitor the Green Transition - Planet Classroom Podcast Ep.28,1,0:00:03,0,0,,,0,0
Kim,1,0:00:05,0,56,1.79,,0,0
You're Gonna Be Okay,1,0:00:05,0,56,1.79,,0,0
Net Zero Speaks with Nancy Colleton,1,0:00:00,0,755,0.13,,0,0
Buried Treasure and No Spade,1,0:00:00,1,64,0,3,2,0.002
Technology is Fire,1,0:00:59,2,42,2.38,0.5,1,0.001
Saving Africa with Feathered Flight,1,0:00:25,0,57,0,,0,0
From Gangs To Gardens,1,0:00:06,0,0,,,0,0
Keys,1,0:00:32,2,48,2.08,2,2,0.002
Dance!,1,0:01:09,0,63,1.59,,0,0
Apples and Oranges,0,,0,0,,,,0
Moon River,0,,0,76,0,,,0
Walking With Reality,0,,0,0,,,,0
The Search for Me,0,,0,25,0,,,0
Air pollution,0,,0,51,0,,,0
What Are Some of the Coolest Things That Have Been 3D Printed?,0,,0,1565,0,,,0
Take a Walk on the Wildside,0,,0,142,0,,,0
Net Zero Speaks With Rep Sam Onuigbo #shorts,0,,0,106,0,,,0
The Mess,0,,0,0,,,,0
What Happened to Dujuan Armstrong?,0,,0,0,,,,0
One Leg in One Leg out,0,,0,0,,,,0
The Autograph,0,,0,0,,,,0
Without A Map,0,,0,51,0,,,0
38th Parallel,0,,0,412,0,,,0
Betty,0,,0,41,0,,,0
Abbeville: Lynching in America,0,,0,0,,,,0
One at a Time,0,,0,44,0,,,0
Know Your Culture,0,0:00:00,2,39,0,3.5,,0.004
Clothed Minds,0,,0,0,,,,0
